track_id,artist_name,title,genre,mode,duration,artist_hotttnesss,key,loudness,tempo,time_signature,artist_familiarity
TRACCEJ128F93257ED,Daniel Johnston,Story Of An Artist (Don't Be Scared),dance and electronica,1,311.53587,0.473613189,0,-12.743,106.742,4,0.713322147
TRACJWY12903CB7DBF,Kris Kristofferson,Same Old Song,folk,1,194.37669,0.496224349,2,-11.663,74.809,4,0.732393863
TRACMCG128F92CE225,Trivium,Upon The Shores [Explicit],metal,0,321.17506,0.494206855,4,-3.973,100.604,4,0.847754656
TRACRBQ128F4263964,J.J. Cale,Midnight In Memphis,classic pop and rock,1,263.94077,0.435468899,0,-14.293,111.492,1,0.67577137
TRACNJR128F4262E27,John Hammond,Come To Find Out,folk,0,247.32689,0.452817838,6,-8.405,90.666,4,0.590692918
TRACNAS128F14567C6,Tom Petty And The Heartbreakers,Mary Jane's Last Dance,classic pop and rock,0,274.20689,0.568350503,7,-8.962,168.946,4,0.779838092
TRACEGL12903CEE923,Seamus Egan,Lullaby,folk,1,205.21751,0.327954754,0,-18.263,60.11,1,0.477180009
TRACPKD128F14539CD,Fort Minor (Featuring Mr. Hahn),Slip Out The Back (Album Version),hip-hop,1,236.66893,0.54441459,5,-6.475,90.009,4,0.795402549
TRACWCV128F429D196,The Box Tops,Neon Rainbow,classic pop and rock,1,177.3971,0.417499645,0,-10.393,117.381,4,0.630630038
TRACWBO128F92F322F,Stevie Ray Vaughan And Double Trouble,Empty Arms,jazz and blues,1,184.2673,0.544257506,6,-10.72,98.623,1,0.73379894
TRACWEH128F1456890,Terry Callier,Blues,classic pop and rock,1,180.50567,0.416173065,7,-8.154,109.018,3,0.706827671
TRACGOI128F92FE771,Steve Riley & The Mamou Playboys,Between Eunice & Opelousas,folk,1,182.22975,0.274360733,0,-3.959,225.669,1,0.453531639
TRACTHF128F4295A22,Kris Kristofferson,Road Warrior's Lament,folk,1,259.68281,0.496224349,2,-18.184,141.51,4,0.732393863
TRACKXA12903CB6D40,SÌ©amus Egan,McDermott's / Boys of Blue Hill,folk,1,276.16608,0.327954754,2,-11.404,201.651,1,0.477180009
TRACQIL128F931B8AD,Pinchers,For Your Eyes Only,punk,0,195.10812,0.340632714,10,-7.551,158.103,4,0.558384455
TRACULD128F935A67B,Behemoth,Before The Ì ons Came,metal,1,178.33751,0.550422825,1,-4.059,85.112,1,0.84219335
TRACUMR128F932C675,Soilwork,Machine Gun Majesty [Live] (Album Version),metal,1,323.21261,0.562881125,7,-3.049,93.235,1,0.785120149
TRACUUJ128F422EFF8,Horace Andy,Rastafari Prophecy,classic pop and rock,0,284.47302,0.374271174,6,-4.812,174.282,1,0.626436382
TRAJHCO128F42570C1,Beenie Man Featuring Janet Jackson,Feel It Boy (Deep Dish Danchall Remix) (Feat. Janet Jackson),soul and reggae,1,215.90159,0.481339309,1,-4.475,102.828,4,0.729212274
TRAJHDR128F92FA863,Morgion,Basking Under a Blacksun Dawning,metal,1,341.68118,0.37629757,10,-7.422,112.063,3,0.506114299
TRAJHHJ128F4279625,Danny Wilson,Never Gonna Be The Same,classic pop and rock,1,167.13098,0.362902986,11,-11.053,91.256,1,0.559991415
TRAJXNN128E078F945,Burning Spear,Civilized Reggae,classic pop and rock,0,355.18649,0.46527021,11,-8.01,125.245,4,0.6742378
TRAJXYE128F92C9BD7,Jefferson Starship,Let me fly,classic pop and rock,1,329.50812,0.418946871,2,-9.864,132.611,4,0.62812134
TRAJOLQ128EF346088,The Ruby Suns,Function Of The Sun,classic pop and rock,1,70.89587,0.4538815,0,-9.876,42.525,4,0.639860428
